,Title,Model,Fuel,Engine,Transmission_type,Location,Price
920,Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,2021,Petrol,1800 cc,Automatic,Karachi,PKR 46.5 lacs
921,KIA Sportage  2021 FWD for Sale,2021,Petrol,2000 cc,Automatic,Gujranwala,PKR 60 lacs
922,Suzuki Wagon R  2017 VXL for Sale,2017,Petrol,1000 cc,Manual,Faisalabad,PKR 16.65 lacs
923,Honda City  2009 1.3 i-VTEC for Sale,2009,Petrol,1300 cc,Manual,Islamabad,PKR 17.8 lacs
924,Suzuki Baleno  2002  for Sale,2002,Petrol,1300 cc,Manual,Lahore,PKR 7.85 lacs
925,Toyota Land Cruiser  1987 RKR for Sale,1987,Petrol,4000 cc,Manual,Islamabad,PKR 40 lacs
926,Suzuki Alto  2004 VXR for Sale,2004,Petrol,1000 cc,Manual,Karachi,PKR 4.95 lacs
927,United Bravo  2022  for Sale,2022,Petrol,1000 cc,Manual,Karachi,PKR 12.9 lacs
928,Daihatsu Mira  2019  for Sale,2019,Petrol,1000 cc,Automatic,Karachi,PKR 25.88 lacs
929,Honda Civic  2022  for Sale,2022,Petrol,1500 cc,Automatic,Islamabad,PKR 60.25 lacs
930,Suzuki Bolan  2016 VX Euro II for Sale,2016,Petrol,800 cc,Manual,Islamabad,PKR 9.8 lacs
931,Toyota Vitz  2019 F 1.0 for Sale,2019,Petrol,0.0 kWh,Automatic,Gujranwala,PKR 29.75 lacs
932,Toyota Corolla Fielder  2014 Hybrid G  WB  for...,2014,Petrol,1500 cc,Automatic,Peshawar,PKR 34 lacs
933,Toyota Hilux  2020 Revo V Automatic 2.8 for Sale,2020,Diesel,2800 cc,Automatic,Peshawar,PKR 83 lacs
934,Toyota Yaris  2021 ATIV X CVT 1.5 for Sale,2021,Petrol,1500 cc,Automatic,Multan,PKR 32.65 lacs
935,Mercedes Benz E Class 4th (W212) Generation 20...,2011,Petrol,2000 cc,Automatic,Peshawar,PKR 75 lacs
936,Toyota Surf  2000 SSR-G 3.4 for Sale,2000,Petrol,3400 cc,Automatic,Peshawar,PKR 47 lacs
937,Mitsubishi Ek Wagon  2020 G Safety Plus Editio...,2020,Petrol,660 cc,Automatic,Multan,PKR 25.25 lacs
938,Daihatsu Cuore  2008 CX Eco for Sale,2008,Petrol,800 cc,Manual,Faisalabad,PKR 9 lacs
939,Honda City  2014 Aspire Prosmatec 1.3 i-VTEC f...,2014,Petrol,1300 cc,Automatic,Islamabad,PKR 24.5 lacs
940,Toyota Corolla  2022 Altis X Automatic 1.6 Spe...,2022,Petrol,1600 cc,Automatic,Multan,PKR 45.25 lacs
941,Toyota Corolla  2015 GLi Automatic 1.3 VVTi fo...,2015,Petrol,1300 cc,Automatic,Islamabad,PKR 29 lacs
942,Honda BR-V  2020 i-VTEC S for Sale,2020,Petrol,1500 cc,Automatic,Islamabad,PKR 36.2 lacs
943,Mercedes Benz S Class  2004  for Sale,2004,Petrol,3500 cc,Automatic,Lahore,PKR 50 lacs
944,Mitsubishi Rvr  2013  for Sale,2013,Petrol,1800 cc,Automatic,Karachi,PKR 32 lacs
945,Toyota Mark X  2004 250G for Sale,2004,Petrol,2500 cc,Automatic,Gujranwala,PKR 28 lacs
946,Changan Alsvin  2022 1.5L DCT Lumiere for Sale,2022,Petrol,1500 cc,Automatic,Khanewal,PKR 31 lacs
947,Suzuki Cultus  2004 VXR for Sale,2004,Petrol,1000 cc,Manual,Sargodha,PKR 6 lacs
948,Honda Cross Road  2008 1.8 L X PACKAGE for Sale,2008,Petrol,1800 cc,Automatic,Hyderabad,PKR 31.25 lacs
949,Daihatsu Mira  2008 Custom RS for Sale,2008,Petrol,660 cc,Automatic,Karachi,PKR 12.65 lacs
950,Honda Civic Reborn 2011 VTi Oriel Prosmatec 1....,2011,Petrol,1800 cc,Automatic,Karachi,PKR 18.9 lacs
951,Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,2021,Petrol,1800 cc,Automatic,Karachi,PKR 46.5 lacs
952,KIA Sportage  2021 FWD for Sale,2021,Petrol,2000 cc,Automatic,Gujranwala,PKR 60 lacs
953,Suzuki Wagon R  2017 VXL for Sale,2017,Petrol,1000 cc,Manual,Faisalabad,PKR 16.65 lacs
954,Honda City  2009 1.3 i-VTEC for Sale,2009,Petrol,1300 cc,Manual,Islamabad,PKR 17.8 lacs
955,Suzuki Baleno  2002  for Sale,2002,Petrol,1300 cc,Manual,Lahore,PKR 7.85 lacs
956,Toyota Land Cruiser  1987 RKR for Sale,1987,Petrol,4000 cc,Manual,Islamabad,PKR 40 lacs
957,Suzuki Alto  2004 VXR for Sale,2004,Petrol,1000 cc,Manual,Karachi,PKR 4.95 lacs
958,United Bravo  2022  for Sale,2022,Petrol,1000 cc,Manual,Karachi,PKR 12.9 lacs
959,Daihatsu Mira  2019  for Sale,2019,Petrol,1000 cc,Automatic,Karachi,PKR 25.88 lacs
960,Honda Civic  2022  for Sale,2022,Petrol,1500 cc,Automatic,Islamabad,PKR 60.25 lacs
961,Suzuki Bolan  2016 VX Euro II for Sale,2016,Petrol,800 cc,Manual,Islamabad,PKR 9.8 lacs
962,Honda BR-V  2018 i-VTEC S for Sale,2018,Petrol,1500 cc,Automatic,Karachi,PKR 33.49 lacs
963,Toyota Vitz  2019 F 1.0 for Sale,2019,Petrol,0.0 kWh,Automatic,Gujranwala,PKR 29.75 lacs
964,Toyota Corolla Fielder  2014 Hybrid G  WB  for...,2014,Petrol,1500 cc,Automatic,Peshawar,PKR 34 lacs
965,Toyota Hilux  2020 Revo V Automatic 2.8 for Sale,2020,Diesel,2800 cc,Automatic,Peshawar,PKR 83 lacs
966,Toyota Yaris  2021 ATIV X CVT 1.5 for Sale,2021,Petrol,1500 cc,Automatic,Multan,PKR 32.65 lacs
967,Mercedes Benz E Class 4th (W212) Generation 20...,2011,Petrol,2000 cc,Automatic,Peshawar,PKR 75 lacs
968,Toyota Surf  2000 SSR-G 3.4 for Sale,2000,Petrol,3400 cc,Automatic,Peshawar,PKR 47 lacs
969,Mitsubishi Ek Wagon  2020 G Safety Plus Editio...,2020,Petrol,660 cc,Automatic,Multan,PKR 25.25 lacs
970,Daihatsu Cuore  2008 CX Eco for Sale,2008,Petrol,800 cc,Manual,Faisalabad,PKR 9 lacs
971,Honda City  2014 Aspire Prosmatec 1.3 i-VTEC f...,2014,Petrol,1300 cc,Automatic,Islamabad,PKR 24.5 lacs
972,Toyota Corolla  2022 Altis X Automatic 1.6 Spe...,2022,Petrol,1600 cc,Automatic,Multan,PKR 45.25 lacs
973,Toyota Corolla  2015 GLi Automatic 1.3 VVTi fo...,2015,Petrol,1300 cc,Automatic,Islamabad,PKR 29 lacs
974,Honda BR-V  2020 i-VTEC S for Sale,2020,Petrol,1500 cc,Automatic,Islamabad,PKR 36.2 lacs
975,Mercedes Benz S Class  2004  for Sale,2004,Petrol,3500 cc,Automatic,Lahore,PKR 50 lacs
976,Mitsubishi Rvr  2013  for Sale,2013,Petrol,1800 cc,Automatic,Karachi,PKR 32 lacs
977,Toyota Mark X  2004 250G for Sale,2004,Petrol,2500 cc,Automatic,Gujranwala,PKR 28 lacs
978,Changan Alsvin  2022 1.5L DCT Lumiere for Sale,2022,Petrol,1500 cc,Automatic,Khanewal,PKR 31 lacs
979,Suzuki Cultus  2004 VXR for Sale,2004,Petrol,1000 cc,Manual,Sargodha,PKR 6 lacs
980,Honda Cross Road  2008 1.8 L X PACKAGE for Sale,2008,Petrol,1800 cc,Automatic,Hyderabad,PKR 31.25 lacs
981,Daihatsu Mira  2008 Custom RS for Sale,2008,Petrol,660 cc,Automatic,Karachi,PKR 12.65 lacs
982,Honda Civic Reborn 2011 VTi Oriel Prosmatec 1....,2011,Petrol,1800 cc,Automatic,Karachi,PKR 18.9 lacs
983,Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,2021,Petrol,1800 cc,Automatic,Karachi,PKR 46.5 lacs
984,KIA Sportage  2021 FWD for Sale,2021,Petrol,2000 cc,Automatic,Gujranwala,PKR 60 lacs
985,Suzuki Wagon R  2017 VXL for Sale,2017,Petrol,1000 cc,Manual,Faisalabad,PKR 16.65 lacs
986,Honda City  2009 1.3 i-VTEC for Sale,2009,Petrol,1300 cc,Manual,Islamabad,PKR 17.8 lacs
987,Suzuki Baleno  2002  for Sale,2002,Petrol,1300 cc,Manual,Lahore,PKR 7.85 lacs
988,Toyota Land Cruiser  1987 RKR for Sale,1987,Petrol,4000 cc,Manual,Islamabad,PKR 40 lacs
989,Suzuki Alto  2004 VXR for Sale,2004,Petrol,1000 cc,Manual,Karachi,PKR 4.95 lacs
990,United Bravo  2022  for Sale,2022,Petrol,1000 cc,Manual,Karachi,PKR 12.9 lacs
991,Daihatsu Mira  2019  for Sale,2019,Petrol,1000 cc,Automatic,Karachi,PKR 25.88 lacs
992,Honda Civic  2022  for Sale,2022,Petrol,1500 cc,Automatic,Islamabad,PKR 60.25 lacs
993,Suzuki Bolan  2016 VX Euro II for Sale,2016,Petrol,800 cc,Manual,Islamabad,PKR 9.8 lacs
994,Honda BR-V  2018 i-VTEC S for Sale,2018,Petrol,1500 cc,Automatic,Karachi,PKR 33.49 lacs
995,Suzuki Wagon R  2007 Limited for Sale,2007,Petrol,660 cc,Automatic,Peshawar,PKR 12.6 lacs
996,Toyota Vitz  2019 F 1.0 for Sale,2019,Petrol,0.0 kWh,Automatic,Gujranwala,PKR 29.75 lacs
997,Toyota Corolla Fielder  2014 Hybrid G  WB  for...,2014,Petrol,1500 cc,Automatic,Peshawar,PKR 34 lacs
998,Toyota Hilux  2020 Revo V Automatic 2.8 for Sale,2020,Diesel,2800 cc,Automatic,Peshawar,PKR 83 lacs
999,Toyota Yaris  2021 ATIV X CVT 1.5 for Sale,2021,Petrol,1500 cc,Automatic,Multan,PKR 32.65 lacs
1000,Mercedes Benz E Class 4th (W212) Generation 20...,2011,Petrol,2000 cc,Automatic,Peshawar,PKR 75 lacs
1001,Toyota Surf  2000 SSR-G 3.4 for Sale,2000,Petrol,3400 cc,Automatic,Peshawar,PKR 47 lacs
1002,Mitsubishi Ek Wagon  2020 G Safety Plus Editio...,2020,Petrol,660 cc,Automatic,Multan,PKR 25.25 lacs
1003,Daihatsu Cuore  2008 CX Eco for Sale,2008,Petrol,800 cc,Manual,Faisalabad,PKR 9 lacs
1004,Honda City  2014 Aspire Prosmatec 1.3 i-VTEC f...,2014,Petrol,1300 cc,Automatic,Islamabad,PKR 24.5 lacs
1005,Toyota Corolla  2022 Altis X Automatic 1.6 Spe...,2022,Petrol,1600 cc,Automatic,Multan,PKR 45.25 lacs
1006,Toyota Corolla  2015 GLi Automatic 1.3 VVTi fo...,2015,Petrol,1300 cc,Automatic,Islamabad,PKR 29 lacs
1007,Honda BR-V  2020 i-VTEC S for Sale,2020,Petrol,1500 cc,Automatic,Islamabad,PKR 36.2 lacs
1008,Mercedes Benz S Class  2004  for Sale,2004,Petrol,3500 cc,Automatic,Lahore,PKR 50 lacs
1009,Mitsubishi Rvr  2013  for Sale,2013,Petrol,1800 cc,Automatic,Karachi,PKR 32 lacs
1010,Toyota Mark X  2004 250G for Sale,2004,Petrol,2500 cc,Automatic,Gujranwala,PKR 28 lacs
1011,Changan Alsvin  2022 1.5L DCT Lumiere for Sale,2022,Petrol,1500 cc,Automatic,Khanewal,PKR 31 lacs
1012,Suzuki Cultus  2004 VXR for Sale,2004,Petrol,1000 cc,Manual,Sargodha,PKR 6 lacs
1013,Honda Cross Road  2008 1.8 L X PACKAGE for Sale,2008,Petrol,1800 cc,Automatic,Hyderabad,PKR 31.25 lacs
1014,Daihatsu Mira  2008 Custom RS for Sale,2008,Petrol,660 cc,Automatic,Karachi,PKR 12.65 lacs
1015,Honda Civic Reborn 2011 VTi Oriel Prosmatec 1....,2011,Petrol,1800 cc,Automatic,Karachi,PKR 18.9 lacs
1016,Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,2021,Petrol,1800 cc,Automatic,Karachi,PKR 46.5 lacs
1017,KIA Sportage  2021 FWD for Sale,2021,Petrol,2000 cc,Automatic,Gujranwala,PKR 60 lacs
1018,Suzuki Wagon R  2017 VXL for Sale,2017,Petrol,1000 cc,Manual,Faisalabad,PKR 16.65 lacs
1019,Honda City  2009 1.3 i-VTEC for Sale,2009,Petrol,1300 cc,Manual,Islamabad,PKR 17.8 lacs
1020,Suzuki Baleno  2002  for Sale,2002,Petrol,1300 cc,Manual,Lahore,PKR 7.85 lacs
1021,Toyota Land Cruiser  1987 RKR for Sale,1987,Petrol,4000 cc,Manual,Islamabad,PKR 40 lacs
1022,Suzuki Alto  2004 VXR for Sale,2004,Petrol,1000 cc,Manual,Karachi,PKR 4.95 lacs
1023,United Bravo  2022  for Sale,2022,Petrol,1000 cc,Manual,Karachi,PKR 12.9 lacs
1024,Daihatsu Mira  2019  for Sale,2019,Petrol,1000 cc,Automatic,Karachi,PKR 25.88 lacs
1025,Honda Civic  2022  for Sale,2022,Petrol,1500 cc,Automatic,Islamabad,PKR 60.25 lacs
1026,Suzuki Bolan  2016 VX Euro II for Sale,2016,Petrol,800 cc,Manual,Islamabad,PKR 9.8 lacs
1027,Honda BR-V  2018 i-VTEC S for Sale,2018,Petrol,1500 cc,Automatic,Karachi,PKR 33.49 lacs
1028,Suzuki Wagon R  2007 Limited for Sale,2007,Petrol,660 cc,Automatic,Peshawar,PKR 12.6 lacs
1029,Suzuki Alto  2001 VXR for Sale,2001,Petrol,1000 cc,Manual,Wah cantt,PKR 5.55 lacs
1030,Toyota Vitz  2019 F 1.0 for Sale,2019,Petrol,0.0 kWh,Automatic,Gujranwala,PKR 29.75 lacs
1031,Toyota Corolla Fielder  2014 Hybrid G  WB  for...,2014,Petrol,1500 cc,Automatic,Peshawar,PKR 34 lacs
1032,Toyota Hilux  2020 Revo V Automatic 2.8 for Sale,2020,Diesel,2800 cc,Automatic,Peshawar,PKR 83 lacs
1033,Toyota Yaris  2021 ATIV X CVT 1.5 for Sale,2021,Petrol,1500 cc,Automatic,Multan,PKR 32.65 lacs
1034,Mercedes Benz E Class 4th (W212) Generation 20...,2011,Petrol,2000 cc,Automatic,Peshawar,PKR 75 lacs
1035,Toyota Surf  2000 SSR-G 3.4 for Sale,2000,Petrol,3400 cc,Automatic,Peshawar,PKR 47 lacs
1036,Mitsubishi Ek Wagon  2020 G Safety Plus Editio...,2020,Petrol,660 cc,Automatic,Multan,PKR 25.25 lacs
1037,Daihatsu Cuore  2008 CX Eco for Sale,2008,Petrol,800 cc,Manual,Faisalabad,PKR 9 lacs
1038,Honda City  2014 Aspire Prosmatec 1.3 i-VTEC f...,2014,Petrol,1300 cc,Automatic,Islamabad,PKR 24.5 lacs
1039,Toyota Corolla  2022 Altis X Automatic 1.6 Spe...,2022,Petrol,1600 cc,Automatic,Multan,PKR 45.25 lacs
1040,Toyota Corolla  2015 GLi Automatic 1.3 VVTi fo...,2015,Petrol,1300 cc,Automatic,Islamabad,PKR 29 lacs
1041,Honda BR-V  2020 i-VTEC S for Sale,2020,Petrol,1500 cc,Automatic,Islamabad,PKR 36.2 lacs
1042,Mercedes Benz S Class  2004  for Sale,2004,Petrol,3500 cc,Automatic,Lahore,PKR 50 lacs
1043,Mitsubishi Rvr  2013  for Sale,2013,Petrol,1800 cc,Automatic,Karachi,PKR 32 lacs
1044,Toyota Mark X  2004 250G for Sale,2004,Petrol,2500 cc,Automatic,Gujranwala,PKR 28 lacs
1045,Changan Alsvin  2022 1.5L DCT Lumiere for Sale,2022,Petrol,1500 cc,Automatic,Khanewal,PKR 31 lacs
1046,Suzuki Cultus  2004 VXR for Sale,2004,Petrol,1000 cc,Manual,Sargodha,PKR 6 lacs
1047,Honda Cross Road  2008 1.8 L X PACKAGE for Sale,2008,Petrol,1800 cc,Automatic,Hyderabad,PKR 31.25 lacs
1048,Daihatsu Mira  2008 Custom RS for Sale,2008,Petrol,660 cc,Automatic,Karachi,PKR 12.65 lacs
1049,Honda Civic Reborn 2011 VTi Oriel Prosmatec 1....,2011,Petrol,1800 cc,Automatic,Karachi,PKR 18.9 lacs
1050,Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,2021,Petrol,1800 cc,Automatic,Karachi,PKR 46.5 lacs
1051,KIA Sportage  2021 FWD for Sale,2021,Petrol,2000 cc,Automatic,Gujranwala,PKR 60 lacs
1052,Suzuki Wagon R  2017 VXL for Sale,2017,Petrol,1000 cc,Manual,Faisalabad,PKR 16.65 lacs
1053,Honda City  2009 1.3 i-VTEC for Sale,2009,Petrol,1300 cc,Manual,Islamabad,PKR 17.8 lacs
1054,Suzuki Baleno  2002  for Sale,2002,Petrol,1300 cc,Manual,Lahore,PKR 7.85 lacs
1055,Toyota Land Cruiser  1987 RKR for Sale,1987,Petrol,4000 cc,Manual,Islamabad,PKR 40 lacs
1056,Suzuki Alto  2004 VXR for Sale,2004,Petrol,1000 cc,Manual,Karachi,PKR 4.95 lacs
1057,United Bravo  2022  for Sale,2022,Petrol,1000 cc,Manual,Karachi,PKR 12.9 lacs
1058,Daihatsu Mira  2019  for Sale,2019,Petrol,1000 cc,Automatic,Karachi,PKR 25.88 lacs
1059,Honda Civic  2022  for Sale,2022,Petrol,1500 cc,Automatic,Islamabad,PKR 60.25 lacs
1060,Suzuki Bolan  2016 VX Euro II for Sale,2016,Petrol,800 cc,Manual,Islamabad,PKR 9.8 lacs
1061,Honda BR-V  2018 i-VTEC S for Sale,2018,Petrol,1500 cc,Automatic,Karachi,PKR 33.49 lacs
1062,Suzuki Wagon R  2007 Limited for Sale,2007,Petrol,660 cc,Automatic,Peshawar,PKR 12.6 lacs
1063,Suzuki Alto  2001 VXR for Sale,2001,Petrol,1000 cc,Manual,Wah cantt,PKR 5.55 lacs
1064,Honda Civic Reborn 2010 VTi Oriel Prosmatec 1....,2010,Petrol,1800 cc,Automatic,Karachi,PKR 18 lacs
1065,Toyota Vitz  2019 F 1.0 for Sale,2019,Petrol,0.0 kWh,Automatic,Gujranwala,PKR 29.75 lacs
1066,Toyota Corolla Fielder  2014 Hybrid G  WB  for...,2014,Petrol,1500 cc,Automatic,Peshawar,PKR 34 lacs
1067,Toyota Hilux  2020 Revo V Automatic 2.8 for Sale,2020,Diesel,2800 cc,Automatic,Peshawar,PKR 83 lacs
1068,Toyota Yaris  2021 ATIV X CVT 1.5 for Sale,2021,Petrol,1500 cc,Automatic,Multan,PKR 32.65 lacs
1069,Mercedes Benz E Class 4th (W212) Generation 20...,2011,Petrol,2000 cc,Automatic,Peshawar,PKR 75 lacs
1070,Toyota Surf  2000 SSR-G 3.4 for Sale,2000,Petrol,3400 cc,Automatic,Peshawar,PKR 47 lacs
1071,Mitsubishi Ek Wagon  2020 G Safety Plus Editio...,2020,Petrol,660 cc,Automatic,Multan,PKR 25.25 lacs
1072,Daihatsu Cuore  2008 CX Eco for Sale,2008,Petrol,800 cc,Manual,Faisalabad,PKR 9 lacs
1073,Honda City  2014 Aspire Prosmatec 1.3 i-VTEC f...,2014,Petrol,1300 cc,Automatic,Islamabad,PKR 24.5 lacs
1074,Toyota Corolla  2022 Altis X Automatic 1.6 Spe...,2022,Petrol,1600 cc,Automatic,Multan,PKR 45.25 lacs
1075,Toyota Corolla  2015 GLi Automatic 1.3 VVTi fo...,2015,Petrol,1300 cc,Automatic,Islamabad,PKR 29 lacs
1076,Honda BR-V  2020 i-VTEC S for Sale,2020,Petrol,1500 cc,Automatic,Islamabad,PKR 36.2 lacs
1077,Mercedes Benz S Class  2004  for Sale,2004,Petrol,3500 cc,Automatic,Lahore,PKR 50 lacs
1078,Mitsubishi Rvr  2013  for Sale,2013,Petrol,1800 cc,Automatic,Karachi,PKR 32 lacs
1079,Toyota Mark X  2004 250G for Sale,2004,Petrol,2500 cc,Automatic,Gujranwala,PKR 28 lacs
1080,Changan Alsvin  2022 1.5L DCT Lumiere for Sale,2022,Petrol,1500 cc,Automatic,Khanewal,PKR 31 lacs
1081,Suzuki Cultus  2004 VXR for Sale,2004,Petrol,1000 cc,Manual,Sargodha,PKR 6 lacs
1082,Honda Cross Road  2008 1.8 L X PACKAGE for Sale,2008,Petrol,1800 cc,Automatic,Hyderabad,PKR 31.25 lacs
1083,Daihatsu Mira  2008 Custom RS for Sale,2008,Petrol,660 cc,Automatic,Karachi,PKR 12.65 lacs
1084,Honda Civic Reborn 2011 VTi Oriel Prosmatec 1....,2011,Petrol,1800 cc,Automatic,Karachi,PKR 18.9 lacs
1085,Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,2021,Petrol,1800 cc,Automatic,Karachi,PKR 46.5 lacs
1086,KIA Sportage  2021 FWD for Sale,2021,Petrol,2000 cc,Automatic,Gujranwala,PKR 60 lacs
1087,Suzuki Wagon R  2017 VXL for Sale,2017,Petrol,1000 cc,Manual,Faisalabad,PKR 16.65 lacs
1088,Honda City  2009 1.3 i-VTEC for Sale,2009,Petrol,1300 cc,Manual,Islamabad,PKR 17.8 lacs
1089,Suzuki Baleno  2002  for Sale,2002,Petrol,1300 cc,Manual,Lahore,PKR 7.85 lacs
1090,Toyota Land Cruiser  1987 RKR for Sale,1987,Petrol,4000 cc,Manual,Islamabad,PKR 40 lacs
1091,Suzuki Alto  2004 VXR for Sale,2004,Petrol,1000 cc,Manual,Karachi,PKR 4.95 lacs
1092,United Bravo  2022  for Sale,2022,Petrol,1000 cc,Manual,Karachi,PKR 12.9 lacs
1093,Daihatsu Mira  2019  for Sale,2019,Petrol,1000 cc,Automatic,Karachi,PKR 25.88 lacs
1094,Honda Civic  2022  for Sale,2022,Petrol,1500 cc,Automatic,Islamabad,PKR 60.25 lacs
1095,Suzuki Bolan  2016 VX Euro II for Sale,2016,Petrol,800 cc,Manual,Islamabad,PKR 9.8 lacs
1096,Honda BR-V  2018 i-VTEC S for Sale,2018,Petrol,1500 cc,Automatic,Karachi,PKR 33.49 lacs
1097,Suzuki Wagon R  2007 Limited for Sale,2007,Petrol,660 cc,Automatic,Peshawar,PKR 12.6 lacs
1098,Suzuki Alto  2001 VXR for Sale,2001,Petrol,1000 cc,Manual,Wah cantt,PKR 5.55 lacs
1099,Honda Civic Reborn 2010 VTi Oriel Prosmatec 1....,2010,Petrol,1800 cc,Automatic,Karachi,PKR 18 lacs
1100,Honda Civic EK 1998 VTi Automatic 1.6 for Sale,1998,Petrol,1600 cc,Automatic,Faisalabad,PKR 8.7 lacs
1101,Toyota Vitz  2019 F 1.0 for Sale,2019,Petrol,0.0 kWh,Automatic,Gujranwala,PKR 29.75 lacs
1102,Toyota Corolla Fielder  2014 Hybrid G  WB  for...,2014,Petrol,1500 cc,Automatic,Peshawar,PKR 34 lacs
1103,Toyota Hilux  2020 Revo V Automatic 2.8 for Sale,2020,Diesel,2800 cc,Automatic,Peshawar,PKR 83 lacs
1104,Toyota Yaris  2021 ATIV X CVT 1.5 for Sale,2021,Petrol,1500 cc,Automatic,Multan,PKR 32.65 lacs
1105,Mercedes Benz E Class 4th (W212) Generation 20...,2011,Petrol,2000 cc,Automatic,Peshawar,PKR 75 lacs
1106,Toyota Surf  2000 SSR-G 3.4 for Sale,2000,Petrol,3400 cc,Automatic,Peshawar,PKR 47 lacs
1107,Mitsubishi Ek Wagon  2020 G Safety Plus Editio...,2020,Petrol,660 cc,Automatic,Multan,PKR 25.25 lacs
1108,Daihatsu Cuore  2008 CX Eco for Sale,2008,Petrol,800 cc,Manual,Faisalabad,PKR 9 lacs
1109,Honda City  2014 Aspire Prosmatec 1.3 i-VTEC f...,2014,Petrol,1300 cc,Automatic,Islamabad,PKR 24.5 lacs
1110,Toyota Corolla  2022 Altis X Automatic 1.6 Spe...,2022,Petrol,1600 cc,Automatic,Multan,PKR 45.25 lacs
1111,Toyota Corolla  2015 GLi Automatic 1.3 VVTi fo...,2015,Petrol,1300 cc,Automatic,Islamabad,PKR 29 lacs
1112,Honda BR-V  2020 i-VTEC S for Sale,2020,Petrol,1500 cc,Automatic,Islamabad,PKR 36.2 lacs
1113,Mercedes Benz S Class  2004  for Sale,2004,Petrol,3500 cc,Automatic,Lahore,PKR 50 lacs
1114,Mitsubishi Rvr  2013  for Sale,2013,Petrol,1800 cc,Automatic,Karachi,PKR 32 lacs
1115,Toyota Mark X  2004 250G for Sale,2004,Petrol,2500 cc,Automatic,Gujranwala,PKR 28 lacs
1116,Changan Alsvin  2022 1.5L DCT Lumiere for Sale,2022,Petrol,1500 cc,Automatic,Khanewal,PKR 31 lacs
1117,Suzuki Cultus  2004 VXR for Sale,2004,Petrol,1000 cc,Manual,Sargodha,PKR 6 lacs
1118,Honda Cross Road  2008 1.8 L X PACKAGE for Sale,2008,Petrol,1800 cc,Automatic,Hyderabad,PKR 31.25 lacs
1119,Daihatsu Mira  2008 Custom RS for Sale,2008,Petrol,660 cc,Automatic,Karachi,PKR 12.65 lacs
1120,Honda Civic Reborn 2011 VTi Oriel Prosmatec 1....,2011,Petrol,1800 cc,Automatic,Karachi,PKR 18.9 lacs
1121,Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,2021,Petrol,1800 cc,Automatic,Karachi,PKR 46.5 lacs
1122,KIA Sportage  2021 FWD for Sale,2021,Petrol,2000 cc,Automatic,Gujranwala,PKR 60 lacs
1123,Suzuki Wagon R  2017 VXL for Sale,2017,Petrol,1000 cc,Manual,Faisalabad,PKR 16.65 lacs
1124,Honda City  2009 1.3 i-VTEC for Sale,2009,Petrol,1300 cc,Manual,Islamabad,PKR 17.8 lacs
1125,Suzuki Baleno  2002  for Sale,2002,Petrol,1300 cc,Manual,Lahore,PKR 7.85 lacs
1126,Toyota Land Cruiser  1987 RKR for Sale,1987,Petrol,4000 cc,Manual,Islamabad,PKR 40 lacs
1127,Suzuki Alto  2004 VXR for Sale,2004,Petrol,1000 cc,Manual,Karachi,PKR 4.95 lacs
1128,United Bravo  2022  for Sale,2022,Petrol,1000 cc,Manual,Karachi,PKR 12.9 lacs
1129,Daihatsu Mira  2019  for Sale,2019,Petrol,1000 cc,Automatic,Karachi,PKR 25.88 lacs
1130,Honda Civic  2022  for Sale,2022,Petrol,1500 cc,Automatic,Islamabad,PKR 60.25 lacs
1131,Suzuki Bolan  2016 VX Euro II for Sale,2016,Petrol,800 cc,Manual,Islamabad,PKR 9.8 lacs
1132,Honda BR-V  2018 i-VTEC S for Sale,2018,Petrol,1500 cc,Automatic,Karachi,PKR 33.49 lacs
1133,Suzuki Wagon R  2007 Limited for Sale,2007,Petrol,660 cc,Automatic,Peshawar,PKR 12.6 lacs
1134,Suzuki Alto  2001 VXR for Sale,2001,Petrol,1000 cc,Manual,Wah cantt,PKR 5.55 lacs
1135,Honda Civic Reborn 2010 VTi Oriel Prosmatec 1....,2010,Petrol,1800 cc,Automatic,Karachi,PKR 18 lacs
1136,Honda Civic EK 1998 VTi Automatic 1.6 for Sale,1998,Petrol,1600 cc,Automatic,Faisalabad,PKR 8.7 lacs
1137,Mitsubishi Minica  2006  for Sale,2006,Petrol,0.0 kWh,Manual,Karak,PKR 8 lacs
1138,Toyota Hilux  2018 Revo V Automatic 2.8 for Sale,2018,Diesel,2800 cc,Automatic,Islamabad,PKR 74 lacs
1139,Toyota Hilux  2018 Revo V Automatic 2.8 for Sale,2018,Diesel,2800 cc,Automatic,Islamabad,PKR 74 lacs
1140,Mercedes Benz C Class  2016 C180 Exclusive for...,2016,Petrol,1500 cc,Automatic,Islamabad,PKR 98 lacs
1141,Toyota Hilux  2018 Revo V Automatic 2.8 for Sale,2018,Diesel,2800 cc,Automatic,Islamabad,PKR 74 lacs
1142,Mercedes Benz C Class  2016 C180 Exclusive for...,2016,Petrol,1500 cc,Automatic,Islamabad,PKR 98 lacs
