11 148 254  #SUP: 6281
1 6 77  #SUP: 13216
6 87  #SUP: 16874
6 155  #SUP: 11066
6 138 218  #SUP: 8818
438  #SUP: 18910
1 6 69  #SUP: 7646
1 27  #SUP: 19793
3 6 90  #SUP: 9057
1 77  #SUP: 14142
11 90  #SUP: 19057
6 11 40  #SUP: 17862
6 11 77 148  #SUP: 9293
6 7 218  #SUP: 16389
40 218  #SUP: 8282
6 55  #SUP: 38875
6 7 77  #SUP: 8308
1 6 11 138  #SUP: 9028
11 254  #SUP: 8767
446  #SUP: 23270
73  #SUP: 18749
6 83  #SUP: 29983
11 897  #SUP: 10740
46  #SUP: 8827
77 148 218  #SUP: 9330
11 135  #SUP: 15819
1 3 6 7  #SUP: 9646
6 364  #SUP: 11755
3 11 148 218  #SUP: 21630
3 148 218  #SUP: 25363
6 11 136  #SUP: 16962
6  #SUP: 601374
138 218  #SUP: 9149
6 255  #SUP: 8140
6 11 446  #SUP: 14632
1 3 11  #SUP: 40268
